date,1. open,2. high,3. low,4. close,5. volume
2025-02-20 16:53:00,245.7,245.83,245.67,245.83,59820.0
2025-02-20 16:52:00,245.7,245.74,245.67,245.7388,226.0
2025-02-20 16:51:00,245.72,245.72,245.67,245.7,36.0
2025-02-20 16:50:00,245.7,245.74,245.7,245.7,38.0
2025-02-20 16:49:00,245.72,245.74,245.69,245.74,523.0
2025-02-20 16:48:00,245.701,245.74,245.67,245.7,727.0
2025-02-20 16:47:00,245.73,245.74,245.7,245.74,592.0
2025-02-20 16:46:00,245.7055,245.83,245.7,245.7001,18500.0
2025-02-20 16:45:00,245.72,245.7394,245.71,245.72,30.0
2025-02-20 16:44:00,245.72,245.74,245.7,245.7383,82.0
2025-02-20 16:43:00,245.71,245.73,245.7,245.72,187.0
2025-02-20 16:42:00,245.74,245.78,245.7,245.75,381.0
2025-02-20 16:41:00,245.75,245.7786,245.7,245.75,73.0
2025-02-20 16:40:00,245.75,245.78,245.75,245.78,121.0
2025-02-20 16:39:00,245.75,245.76,245.75,245.75,1064.0
2025-02-20 16:38:00,245.7,245.78,245.7,245.75,183.0
2025-02-20 16:37:00,245.7,245.75,245.7,245.74,378.0
2025-02-20 16:36:00,245.76,245.76,245.7,245.7,242.0
2025-02-20 16:35:00,245.74,245.77,245.7,245.74,204.0
2025-02-20 16:34:00,245.78,245.78,245.7,245.75,109.0
2025-02-20 16:33:00,245.7868,245.7868,245.7,245.77,520.0
2025-02-20 16:32:00,245.74,245.79,245.67,245.73,196.0
2025-02-20 16:31:00,245.74,245.75,245.67,245.67,111.0
2025-02-20 16:30:00,245.7,245.7492,245.7,245.73,5.0
2025-02-20 16:29:00,245.688,245.7485,245.65,245.7,1075.0
2025-02-20 16:28:00,245.75,245.75,245.65,245.68,59.0
2025-02-20 16:27:00,245.68,245.68,245.65,245.65,155.0
2025-02-20 16:26:00,245.67,245.69,245.67,245.69,164.0
2025-02-20 16:25:00,245.65,245.69,245.65,245.6511,605.0
2025-02-20 16:24:00,245.62,245.67,245.62,245.67,660.0
2025-02-20 16:23:00,245.62,245.65,245.6,245.63,166.0
2025-02-20 16:22:00,245.6,245.65,245.6,245.63,60.0
2025-02-20 16:21:00,245.63,245.6487,245.62,245.63,42.0
2025-02-20 16:20:00,245.6002,245.83,245.6,245.6,17692.0
2025-02-20 16:19:00,245.65,245.65,245.6,245.6012,3314.0
2025-02-20 16:18:00,245.6,245.65,245.6,245.6016,61.0
2025-02-20 16:17:00,245.66,245.66,245.6,245.6,319.0
2025-02-20 16:16:00,245.65,245.65,245.6,245.6,315.0
2025-02-20 16:15:00,245.65,245.83,245.65,245.65,1384.0
2025-02-20 16:14:00,245.67,245.83,245.65,245.65,1895.0
2025-02-20 16:13:00,245.69,245.69,245.65,245.66,395.0
2025-02-20 16:12:00,245.66,245.69,245.65,245.69,143.0
2025-02-20 16:11:00,245.66,245.83,245.65,245.65,785.0
2025-02-20 16:10:00,245.83,245.83,245.65,245.65,22505.0
2025-02-20 16:09:00,245.6,245.68,245.6,245.68,181.0
2025-02-20 16:08:00,245.7,245.83,245.6,245.83,77855.0
2025-02-20 16:07:00,245.73,245.76,245.69,245.74,272.0
2025-02-20 16:06:00,245.6901,245.83,245.69,245.69,5223.0
2025-02-20 16:05:00,245.83,245.83,245.6,245.75,2940.0
2025-02-20 16:04:00,245.75,245.83,245.62,245.62,2578.0
2025-02-20 16:03:00,245.83,245.83,245.7,245.7,412183.0
2025-02-20 16:02:00,245.75,245.83,245.71,245.71,61990.0
